article_id;code;title;tokens
1;МЖД-1959;МОЇ ЖИТТЄПИСНІ ДАНІ;3614
2;ЗШМ-1946;ЗНАЧЕННЯ ШИРОКИХ МАС ТА ЇХ ОХОПЛЕННЯ;1169
3;ДППК-1946;ДО ПРОБЛЕМИ ПОЛІТИЧНОЇ КОНСОЛІДАЦІЇ;8984
4;ДЗНВП-1946;ДО ЗАСАД НАШОЇ ВИЗВОЛЬНОЇ ПОЛІТИКИ;3272
5;ПРБ-1948;ПЛЯНОВІСТЬ РЕВОЛЮЦІЙНОЇ БОРОТЬБИ В КРАЮ;6805
6;СДУН-1948;СЛОВО ДО УКРАЇНСЬКИХ НАЦІОНАЛІСТІВ-РЕВОЛЮЦІОНЕРІВ ЗА КОРДОНОМ;18298
7;УНР-1950;УКРАЇНСЬКА НАЦІОНАЛЬНА РЕВОЛЮЦІЯ, А НЕ ТІЛЬКИ ПРОТИРЕЖИМНИЙ РЕЗИСТАНС;14242
8;ВДРС-1950;В ДЕСЯТУ РІЧНИЦЮ СТВОРЕННЯ РЕВОЛЮЦІЙНОГО ПРОВОДУ ОУН (10.02.1940);6136
9;ВвК-1950;ВІЙНА В КОРЕЇ І НАЦІОНАЛЬНО-ВИЗВОЛЬНА ПОЛІТИКА;2180
10;ФПН-1950;ФРОНТ ПОНЕВОЛЕНИХ НАЦІЙ;3129
11;ТСВ-1950;ТРЕТЯ СВІТОВА ВІЙНА І ВИЗВОЛЬНА БОРОТЬБА;11099
12;ДУН-1950;ДРУЗІ — УКРАЇНСЬКІ НАЦІОНАЛІСТИ!;1661
13;ПІР-1951;ПРОТИ ІДЕЙНОГО РОЗЗБРОЮВАННЯ ВИЗВОЛЬНОЇ БОРОТЬБИ;3204
14;ПВР-1951;ПРОПАҐАНДА ВИЗВОЛЬНОЇ РЕВОЛЮЦІЇ НА ТЛІ ВІЙНИ;2569
15;ЗОУН-1951;ЗАВДАННЯ ОУН ПІД СУЧАСНУ ПОРУ;1437
16;ЗМНСМ-1952;З МОСКАЛЯМИ НЕМА СПІЛЬНОЇ МОВИ;1496
17;ПГПК-1952;ПЕРВОРОДНИЙ ГРІХ ПРОРОСІЙСЬКОЇ КОНЦЕПЦІЇ;1341
18;ВК-1952;ВІДКРИТІ КАРТИ;2134
19;ДПОК-1953;ДО ПИТАННЯ ОСНОВНИХ КАДРІВ НАЦІОНАЛЬНО-ВИЗВОЛЬНОЇ РЕВОЛЮЦІЇ;2426
20;КП-1954;КОМАНДИР — ПРОВІДНИК (СЛІДАМИ СЛ. ПАМ. РОМАНА ШУХЕВИЧА);5870
21;ІіЛ-1954;ІДЕЯ І ЛЮДИНА В ІДЕОЛОГІЧНОМУ РУСІ;1268
22;ЧНД-1954;ЧОМУ НЕ ДІЙШЛО ДО ПОЄДНУЮЧОЇ ДІЇ ТРІЙКИ?;1926
23;ПФВП-1954;ПРОТИ ФАЛЬШУВАННЯ ВИЗВОЛЬНИХ ПОЗИЦІЙ;5587
24;ЛБҐ-1954;ЛЮДИ БЕЗ ҐРУНТУ;2008
25;ЗПР-1955;ЗА ПРАВИЛЬНЕ РОЗУМІННЯ ВИЗВОЛЬНО-РЕВОЛЮЦІЙНОГО ПРОЦЕСУ;1574
26;ХЯВЖ-1956;ХОЧ ЯКІ ВЕЛИКІ ЖЕРТВИ — БОРОТЬБА КОНЕЧНА;1542
27;ХПІК-1956;ХРУЩОВ ПРОДОВЖУЄ ІМПЕРІЯЛІСТИЧНИЙ КУРС;1302
28;ВНПХ-1956;В НАЦІОНАЛЬНІЙ ПОЛІТИЦІ ХРУЩОВ ІДЕ СЛІДАМИ СТАЛІНА;1301
29;СХ-1956;СТАЛІНІЗМ ХРУЩОВА У ВНУТРІШНІЙ ПОЛІТИЦІ;3626
30;БТіВБ-1956;БОЛЬШЕВИЦЬКА ТАКТИКА Й ВИЗВОЛЬНА БОРОТЬБА;2648
31;НСМ-1956;НЕЗМІННА СТРАТЕГІЯ МОСКВИ;1018
32;ПВ-1956;ПЕРШІ ВИСНОВКИ;1422
33;ПН-1956;ПРИЗАБУТА НАУЧКА;3036
34;ЗНД-1957;З НЕВИЧЕРПНОГО ДЖЕРЕЛА;1326
35;УНБСМ-1957;УКРАЇНА НЕ БУДЕ СПІЛЬНИЦЕЮ МОСКВИ;1673
36;ЩОІМ-1949;ЩЕ ОДНА ІЛЮЗІЯ МИРУ;2093
37;ВЗНП-1957;ВИСНОВКИ З НОВІШИХ ПОДІЙ І ПРОЦЕСІВ ДЛЯ УКРАЇНСЬКОЇ ВИЗВОЛЬНОЇ БОРОТЬБИ;5833
38;ПАВ-1957;ПИТАННЯ АТОМНОЇ ВІЙНИ І ВИЗВОЛЬНА РЕВОЛЮЦІЯ;11234
39;ЗЗПС-1958;ЗА ЗАВЕРШЕНУ ПОЛІТИЧНУ СТРУКТУРУ;9179
40;ПУНВР-1958;ПЕРСПЕКТИВИ УКРАЇНСЬКОЇ НАЦІОНАЛЬНО-ВИЗВОЛЬНОЇ РЕВОЛЮЦІЇ;29147
41;ДПЗШ-1959;ДЕ ПОВИННІ ЗІЙТИСЯ ШЛЯХИ;1805
42;НП-1959;НА ПІВМЕТІ;1639
43;ІНРК-1954;ІНТЕРВ’Ю НІМЕЦЬКОЇ РАДІОСТАНЦІЇ КЕЛЬН З СТЕПАНОМ БАНДЕРОЮ;1517
44;СМС-1954;СУЧАСНИЙ МІЖНАРОДНІЙ СТАН І НАШІ ЗАВДАННЯ («ШП»);1756
45;У25ОУН-1954;У 25-ЛІТТЯ ОУН;1210
46;НМЄК-1958;НАД МОГИЛОЮ ЄВГЕНА КОНОВАЛЬЦЯ;1610
47;ЩСП-1950;ЩО СКАЗАВ ПРОВІДНИК ОУН СТЕПАН БАНДЕРА ПРЕДСТАВНИКАМ СВІТОВОЇ ПРЕСИ?;1634
